Model name,Manufacturer,Description,Type,Year released,Height,Depth,Width,Weight,Housing material,Power,Operating power: min. [V]:,Operating power: max. [V]:,Power consumption,Internal power supply:,External power supply:,Internal Battery,Certifications:,Rechargeable with (auto)battery :,Direct car connection cable available :,Environment,Minimum Operating Temperature,Maximum Operating Temperature,Humidity resistance:,Water sand and dust proof:,Shock and vibration proof:,ROHS compliance,WEEE compliance,Performance,No. channels:,Max. simultaneous tracked channels:,Tracked satellite signals:,SBAS differential signals:,Type of measurements:,Reacqisition time [s]:,RTK Network Compatibility:,MRS functionality:,Horizontal uncertainity,code: DGNSS/RTC (constant part) [m]:,code: DGNSS/RTC (variable part) [ppm]:,phase: RTK rapid static (constant part) [m]:,phase: RTK rapid static (variable part) [ppm]:,phase: RTK kinematic (constant part) [m]:,phase: RTK kinematic (variable part) [ppm]:,phase: static post processing (constant part) [m]:,phase: static post processing (variable part) [ppm]:,phase: kinematic post processing (constant part) [m]:,phase: kinematic post processing (variable part) [ppm]:,Initialization time on the fly [s]:,Range on the fly [km]:,RTK network solution methods:,Recording,Memory medium :,Data capacity [MB]:,Type of data (on board recording):,Data input :,Communication: general,Communication ports:,Simultaneous links:,PPS Out:,Bluetooth :,Communication: links,Radio modems :,GSM; UMTS phone modems:,CDMA phone modems:,Landline modems:,Communication: Protocols,RTCM standards for differential data:,CMR standards for differential data:,Other formats for differential data:,NMEA output format:,other output formats:,L-Band Compatible:,Configuration method :,More information,Distinguishable features :
APS-3Gm,Altus,NA,NA,2010,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,10,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS L1/L2/L5; GLONASS L1/L2; GALILEO L1/E5a/E5b; Compass Ready,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,N,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
APS-3x,Altus,NA,NA,2009,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,8,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS; GLONASS; L1/L2,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,Y,,Y,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
APS-3u,Altus,NA,NA,2009,0.524,0.428,0.206,1.2,Lexan,,7.2,7.2,NA,2 Li-Ion 5000mAh,Cable,8,CE; FCC Class B Part 15,Y,N,,-20,65,95% non-condensing,IPX67,2m drop,Y,Y,,136,27,GPS; GLONASS; L1/L2,WAAS; EGNOS,Full carrier phase; C/A; P; C,1.2,Y,NA,,0.35,NA,0.002,0.5,0.01,1,0.002,0.5,0.01,1,7,20,VRS; FKP; PRS; RTCM3,,SD Card,2000,SBF Raw data,Depends on Data Collector,,2 RS232,Y,N,NA,,Y,Y,Bluetooth or Cable,N,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+,NA,version 2.3,NA,N,PC/Handheld,,NA
Trimble R2,Trimble,"Work the way you want with the Trimble∂© R2
GNSS receiver. Using trusted Trimble technology the
R2 receiver gives you the freedom to configure a
solution by simply selecting the accuracy and GNSS
performance to suit your application. Capable of
achieving submeter to centimeter level positioning
accuracy the Trimble R2 is the answer to keep you
working productively in a wide range of geospatial
applications; no matter what your workflow
requirements are.",NA,2015,0.114,NA,0.14,1.08,Plastic with metal endoskeleton,,5,NA,4.95,Y,Y,5,FCC; C-Tick; CE Mark; Bluetooth,Y,Y,,-20,55,100% condensing,IP65,MIL-STD-810G,Y,Y,,220,220,L1/L2 (GPS; GLONASS; Galileo; BeiDou; QZSS),WAAS; EGNOS; MSAS; GAGAN,Full wavelength carrier phase; C/A; P code; C code,1,Y,Y,,0.25,1,0.01,1,0.01,1,0.01,1,0.01,1,NA,30,Y,,Internal,56,Trimble compact format,Multiple data controllers are available,,Mini-B USB,Y,N,Y,,Internal Rx,External,External,External,,2.x; 3.0,CMR; CMR+; CMRx; RTCM 2.x; RTCM 3,GSOF; RT17; RT27; BINEX; smoothed carrier,23 NMEA messages,Y,Y,NA,,A versatile receiver capable of achieving sub-meter to centimeter level positioning accuracy to support any GIS or survey-grade workflow. Can be paired with Trimble handhelds and smartphones or tablets using Trimble survey and GIS software. Supports correction sources; such as VRS; RTK and RTX. Fast to set-up and easy to use; can be operated on a pole; backpack or vehicle.
Trimble R8s,Trimble,The new Trimble R8s GNSS receiver gives you just the features and benefits you need; in one flexible; scalable system. Simply choose the configuration level that suits your needs best; whether itÉ??s post-processing; base; rover; or a combination of base and rover functionality.,NA,2015,0.104,NA,0.19,1.52,Plastic with metal endoskeleton,,11,24,3.2,Y,Y,5,FCC; C-Tick; CE Mark; Bluetooth,Yes,NA,,-40,65,100% condensing,IP67,MIL-STD-810F; FIG.514.5C-1,Y,Y,,440,440,GPS L1C/A; L1C; L2C; L2E; L5; GLONASS L1C/A; L1P; L2C/A; L2P; L3; Galileo E1; E5A; E5B; BeiDou B1; B2,WAAS; EGNOS; QZSS; GAGAN,Very low noise carrier phase measurements,1,Y,Y,,0.25,1,0.008,1,0.008,1,0.003,0.5,0.008,1,8,30,NA,,Internal,56,Trimble compact format,multiple data controllers are available,,RS-232 /422 Serial; Radio; GSM; UMTS,Y,N,Y,,Internal,Internal,External,External,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; RT17; RT27; BINEX; smoothed carrier,23 NMEA messages,NA,NA,NA,,"One configurable receiver that is scalable for future needs

Available in post-processing; base only; rover only; or base & rover configurations

Advanced satellite tracking with Trimble 360 receiver technology

Includes Trimble Maxwell 6 chips with 440 channels

Simple integration with Trimble S-Series Total Stations and the V10 Imaging Rover

Intuitive Trimble Access Field Software and Trimble Business Center Office Software"
Trimble R10,Trimble,"With the Trimble R10 GNSS System; survey previously inaccessible points; reduce occupation time and record faster and safer measurements than ever before. Built-in firmware gives automatic compensation for up to 15 degrees of pole tilt and RTK level precision anywhere.

Collect more accurate data faster and easier É?? no matter
what the job or the environment; with the Trimble∂© R10
GNSS System. Built with powerful technologies like Trimble
HD-GNSS; Trimble SurePointÉ?Ω; Trimble CenterPointÉ?Ω RTX; and Trimble xFillÉ?Ω; integrated into a sleek design; this
unique system provides Surveyors with a powerful way to
increase productivity in every job; every day.",NA,2012,0.136,0,0.119,2.09,Magnesium,,11,24,5.1,Y,Y,5.5,FCC; CE; C-Tick; A-Tick; PTCRB; WFA; Anatel,via external charger,Y,,-40,65,100%; condensing,IP67,MIL-STD-810F; FIG.514.5C-1,Y,Y,,440,440,GPS (L1/L2/L5); GLONASS (L1/L2/L3); BeiDou (B1/B2/B3); GALILEO (E1; E5A; E5B); SBAS,WAAS; EGNOS; QZSS; GAGAN,Full wavelength carrier phase; C/A; P; C,1,Y,Y,,0.25,1,0.008,1,0.008,1,0.003,0.5,0.008,1,2,30,Y,,Internal,4096,Trimble compact format,multiple data controllers are available,,1 serial COM port; 1 USB COM part,Y,N,Y,,Internal,Internal,External,External,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; RT17; RT27; smoothed carrier,24 NMEA messages,No,Yes,Web interface; Handheld Controller; PC software,,The new Trimble R10 System is designed to help surveying professionals work more effectively through new integrated technologies like Trimble HD-GNSS; Trimble SurePoint; Trimble CenterPoint RTX and Trimble xFill.
Trimble R8,Trimble,The Trimble R8 GNSS system has long set the bar for advanced GNSS surveying systems. Through advanced Trimble 360 tracking technology and a comprehensive set of communication options integrated into a flexible system design; this integrated GNSS system delivers industry-leading performance. For surveyors facing demanding RTK applications; the Trimble R8 is an invaluable GNSS partner.,NA,2013,0.104,0,0.19,2.47,Plastic with metal endoskeleton,,11,28,3.2,Y,Y,5,FCC; CE; C-Tick,via external charger,Y,,-40,65,100% condensing,IP67 dustproof; protected from temporary immersion to depth of 1 m,MIL-STD-810F; FIG.514.5C-1,Y,Y,,440,440,GPS (L1/L2/L5); GLONASS (L1/L2/L3); BeiDou (B1/B2/B3); GALILEO (E1; E5A; E5B); SBAS,WAAS; EGNOS; QZSS; GAGAN,Full wavelength carrier phase; C/A; P; C,1,Y,Y,,0.25,1,0.008,1,0.008,1,0.003,0.5,0.008,1,8,30,Y,,Internal,56,Trimble compact format,multiple data controllers are available,,2 serial COM ports,Y,N,Y,,Fully integrated fully sealed receive / transmit radios,GSM/GPRS internal option,external only,external,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; RT17; RT27; BINEX; smoothed carrier,23 NMEA messages,No,No,Web interface; controller; PC software,,NA
Trimble R7,Trimble,The Trimble R7 offers a comprehensive GNSS support in a rugged; modular design that employs an external GNSS antenna for greater flexibility.  Trimble R-Track technology in the receiver supports L2C and L5 GPS; plus GLONASS. Use the Trimble R7 for RTK or static surveying; or in a Trimble VRSÉ?Ω infrastructure network. Employing a separate antenna; the modular Trimble R7 enables flexibility É?? choose from the Trimble ZephyrÉ?Ω 2 for a rover solution or the Zephyr GeodeticÉ?Ω 2 for a base station solution. The Trimble R7 is ideal for multiple surveying applications; including topographic; cadastral; seismic; stakeout; and control.,NA,2007,0.135,0.085,0.24,1.5,Magnesium Alloy,,10.5,28,4,Y,Y,8,FCC; CE; C-Tick,Y,Y,,-40,65,100% condensing,IP67 dustproof; protected from temporary immersion to depth of 1 m,MIL-STD-810F; FIG.514.5C-1,Y,Y,,72,26,GPS L1/L2; Optional GLONASS L1/L2,WAAS; EGNOS,Full wavelength carrier phase; C/A; P; C,1,Y,NA,,0.25,1,0.008,1,0.008,0.5,0.003,0.1,0.01,1,8,NA,Y,,Compact Flash,1000,Trimble compact format,multiple data controllers are available,,3 serial ports; Integrated USB for data download,Y,NA,Y,,Fully integrated fully sealed receive radios,GSM/GPRS internal option,external only,compatible,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; RT17,16 NMEA outputs,No,NA,NA,,NA
Trimble R6,Trimble,The Trimble∂© R6 GNSS system combines advanced GNSS technology with the scalability and freedom to adapt and grow as your business needs change.,NA,2013,0.102,0,0.19,2.47,Plastic with metal endoskeleton,,11,28,3.2,Y,Y,5,FCC; CE; C-Tick,via external charger,Y,,-40,65,100% condensing,IP67 dustproof; protected from temporary immersion to depth of 1 m,MIL-STD-810F; FIG.514.5C-1,Y,Y,,220,220,GPS (L1/L2/L5); GLONASS opt. (L1/L2/L3); BeiDou opt. (B1/B2/B3); GALILEO opt. (E1; E5A; E5B); SBAS,WAAS; EGNOS; QZSS; GAGAN,Full wavelength carrier phase; C/A; P; C,1,Y,N,,0.25,1,0.008,1,0.008,1,0.003,0.5,0.008,1,8,30,Y,,Internal,11,Trimble compact format,multiple data controllers are available,,2 serial COM ports,Y,N,Y,,Fully integrated fully sealed receive / transmit radios,internal GSM/GPRS option,external only,external,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; RT17; RT27; BINEX; smoothed carrier,23 NMEA messages,No,No,Controller; PC software,,"Featuring Trimble R-TrackÉ?Ω technology;
integrated communications choices; and GNSS upgrade
options; the Trimble R6 works the way you want it
today; but is positioned to offer what you may need
tomorrow"
Trimble R5,Trimble,Take the best of Trimble GNSS technology anywhere you want to go. Whether you require a reliable base; a rugged RTK rover or a precision receiver for specialized applications; the modular Trimble∂© R5 GPS Receiver gives you the flexibility to do it all.,NA,NA,0.135,0.085,0.24,1.5,Magnesium,,10.5,28,4,Y,Y,8,FCC; CE; C-Tick,Y,Y,,-40,65,100% condensing,IP67 dustproof; protected from temporary immersion to depth of 1 m,MIL-STD-810F; FIG.514.5C-1,Y,Y,,72,26,GPS L1/L2; Optional GLONASS L1/L2,WAAS; EGNOS,Full wavelength carrier phase; C/A; P; C,1,Y,NA,,0.25,1,0.008,1,0.008,0.5,0.003,0.1,0.01,1,10,NA,Y,,Compact Flash,1000,Trimble compact format,multiple data controllers are available,,3 serial ports; Integrated USB for data download,Y,NA,N,,Fully integrated fully sealed receive radios,GSM/GPRS internal optional,external only,compatible,,version 2.2; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,NA,version 2.30,NA,NA,NA,,NA
Trimble R4,Trimble,Designed for surveyors looking for easy-to-use GNSS technology that performs under even the most rigorous conditions.,NA,2013,0.102,0,0.19,2.47,Plastic with metal endoskeleton,,11,28,3.2,Y,Y,5,FCC; CE; C-Tick,via external charger,Y,,-40,65,100% condensing,IP67 dustproof; protected from temporary immersion to depth of 1 m,MIL-STD-810F; FIG.514.5C-1,Y,Y,,220,220,GPS (L1/L2/L5); GLONASS optional (L1/L2/L3); BeiDou optional (B1/B2/B3); GALILEO optional (E1; E5A; E5B); SBAS,WAAS; EGNOS; QZSS; GAGAN,Full wavelength carrier phase; C/A; P; C,1,Y,N,,0.25,1,0.008,1,0.008,1,0.003,0.5,0.008,1,8,30,Y,,Internal,11,Trimble compact format,multiple data controllers are available,,2 serial COM ports,Y,N,Y,,fully Integrated; fully sealed internal 450 MHz,GSM/GPRS internal optional,external,external,,2.1; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,GSOF; Rt17; RT27; BINEX; smoothed carrier,23 NMEA messages,No,No,Controller; PC software,,"GNSS support upgrade options; integrated Trimble R-TrackÉ?Ω satellite
tracking technology; and a straightforward system
design result in a system that is flexible; reliable; and
rugged."
NetR9,Trimble,"Trimble∂© RTXÉ?Ω correction service is a high-accuracy Global Navigation Satellite System (GNSS)
correction technology. By combining real-time data with innovative positioning and compression
algorithms; RTX technology is able to deliver repeatable high accuracy positions around the globe.
RTX technology utilizes real-time GNSS corrections from a global reference station network to
compute centimeter level positions based on satellite orbit and clock information",NA,2010,0.055,0.265,0.13,1.75,magnesium alloy,,NA,NA,3.8,Y,Y,15,FCC; CE; C-Tick,Y,Gator Clips,,-40,65,100% condensing,IP67,MIL-STD 810F,Y,Y,,440,NA,GPS: L1/L2/L5; GLONASS: L1/L2; Galileo GIOVE-A/GIOVE-B; additional tracking pending commercial authorization,WAAS; EGNOS; MSAS; OmniSTAR VBS/HP/XP,NA,10,Y,NA,,0.25,1,0.008,1,0.008,0.5,0.003,0.1,NA,NA,10,NA,Y,,Internal/USB,1000000,T02; RINEX v2.11; RINEX v3.0; BINEX; Google Earth KMZ,2-line x 16-character vacuum fluorescent display; 7 key input,,D9 serial; 7pin Lemo; USB; HTTP; HTTPs; FTP; TCP/IP; UDP; NTRIP Caster/Server/Client,Y,NA,Y,,External,External,External,Inegrated Ethernet; external modems supported,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+; CMRx,BINEX; RT27,version 2.30,NA,NA,NA,,1 PPS Output; Event Input; Met/Tilt Sensor support; Email and FTP Push Technology with compression; 8 concurrent logging sessions
K501G OEM Board,ComNav,K501G model is the GPS plus GLONASS small sized GNSS OEM board. It is very convenient and easy to integrate to high precision applications. The hardware size; interface; data command are compatible with major brandsÉ?? OEM host boards.,NA,2012,0.013,0.071,0.046,0.026,NA,,3.3,6,1,N,Y,0,ROHS,N,N,,-40,85,95% no condensation,N,Y,Y,Y,,120,120,"GPS: L1 C/A code; L1/L2 P code

GLONASS: L1; L2",WAAS; EGNOS; MASAS,C/A code; P code; Full Carrier Phase,2,Y,Y,,0.25,1,0.0025,1,0.01,1,0.0025,1,0.01,1,10,30,VRS;FKP;RTCM3,,Internal Flash Memory,100,ComNav binary format,Auto,,"3 LV-TTL RS232 Ports 

-Baud rates up to 921;600 bps",Y,Y,N,,N,External,External,External,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,NMEA0183,ComNav Binary,Y,CRU OEM Board Control Software,,"1. GPS L1/L2; GLONASS L1/L2 dual satellite system calculating 
2. Configurable GPS/GLONASS single system positioning and GPS+GLONASS multi-system positioning
3.Easy to customize; can satisfy different kinds of demands
4. Built in 100M internal memory"
V90 PLUS GNSS RTK SYSTEM,"Hi-Target Surveying Instrument Co., Ltd",NA,NA,2015,0.083,0.083,0.153,0.95,Magnalium,,NA,NA,3.5,NA,NA,12,NA,Yes,NA,,-40,65,100,IP67,Designed to survive a 3m(9.84ft) natural fall onto,NA,NA,,NA,NA,GPS; GLONASS; Galileo; BDS,NA,NA,NA,Y,NA,,0.25,1,NA,NA,0.008,1,0.0025,0.5,NA,NA,8,NA,NA,,NA,NA,NA,NA,,SD Card; USB; RS-232 /422 Serial; Compact Flash; WiFi; Radio; GSM; UMTS; Event Input,NA,N,Y,,NA,NA,NA,NA,,RTCM 2.1; 2.3; 3.0; 3.1; 3.2 input and output,CMR; CMR+; sCMRx input and output,NA,NMEA-0183 GSV; AVR; RMC; HDT; VGK; VHD; ROT; GGK;,NA,NA,NA,,NA
S82T,South,NA,NA,2009,0.096,0.184,0.184,1.2,hard plastics,,7.4,7.4,3.8,Removable 7.4V;  2.5Ah Lithium-lon battery,12-15V DC,10,CE,N,Y,,-40,75,100% condensing,IP67; immersion to depth of maximum 1m (3.28ft),IP67; 2m (6.6ft) pole drop,N,N,,220,220,"GPS; Simultaneous L1 C/A; L2E; L2C; L5;
GlONASS: Simultaneous L1 C/A; L1P; L2 C/A (GLONASS M Only); L2 P;
SBAS: Simultaneous L1 C/A; L5;
GALILEO: Simultaneous L1 BOC; E5A; E5B; E5AltBOC; Compass: B1; B2;
QZSS: L1 C/A; L1 SAIF; L2C; L5",SBAS,C/A; P;C,1,Y,NA,,0.25,1,0.003,0.5,0.008,1,0.003,0.5,0.008,1,8,20,NRS; VRS; FKP; PRS; RTCM3,,Internal,64,binary,qwerty board,,"Standard USB2.0 port;
RS-232 port: Baud rates up to 115200",Y,N,Y,,internal and external,internal,internal,N,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,PC or field software; controller,,"PSION; WorkAbout Pr3 ( Default supply);  SOUTH MasterPro S10 and GETAC PS236 (Optional);
Carlson SurvCE onboard (Optional)"
UAV Ground Control Kit,CHC Navigation,The UAV GC kit has several options to fit various end user\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'s need with a choice of GNSS receivers(static or static + real-time).  The standard Package consists of five GNSS receivers; one X900S Base Station; four X20+ control point receivers; post processing software; and a full complement of accessories all in one rugged hard case.  Additional X20+ receivers can be ordered in pairs.,NA,2015,0.084,0.179,0.179,1.4,NA,,9,18,2.6,2200 mAH battery,VDC 9-18V,6,IP-67,NA,NA,,-40,60,100% condensation,Yes; IP67,survives a 2∂meter drop on to concrete,NA,NA,,120,120,GPSGPS: L1; L2; L2C; GLONASS: L1; L2; BeiDou: B1,NA,NA,NA,N,NA,,NA,NA,NA,NA,NA,NA,5,1,5,1,NA,NA,HCN and RINEX,,internal,4000,RINEX and HCN,NA,,RS232 & USB,N,N,Y,,NA,NA,NA,NA,,NA,NA,NA,NA,HCN and RINEX,NA,NA,,Comes with processing software
UR380 High Precision Receiver,Unicore Communications,UR380 is tri-system octa-frequency high precision BDS/GPS/GLONASS CORS receiver; based on UnicoreÉ??s multi-system multi-frequency high performance SoC -(NebulasTM). Together with the built in large memory; a high-capacity rechargeable lithium-ion battery; a variety of communication interfaces such as serial; Ethernet and wireless; as well as a friendly user interface; the complete hardware fits in a rugged; compact unit,NA,2014,0.079,0.22,0.16,1.8,Aluminum magnesium,,9,18,4.8,0,12,0,ROHS; CE,N/A,N/A,,-40,75,100% non-condesing,IP67,MIL-STD-810,Y,Y,,384,112,"BDS B1/B2/B3
GPS L1/L2 
GLONASS L1/L2/L5",WAAS; EGNOS; GAGAN; MSAS; É?›,full carrier phase; C/A code; P code; C code,1,Y,Y,,0.3,1,0.003,1,0.01,1,0.003,0.5,0.01,1,10,100,VRS; FKP; PRS; RTCM3,,USB MASS STORAGE,16000,RAW DATA; NMEA-0183; UNICORE,PC,,1 x RS-232(DB9); 1 x RS-232(LEMO); 1 x RS-232/422(LEMO); 1 x RJ45; 1 x SMA 1x1PPS,Y,Y,N,,N/A,N/A,N/A,N/A,,RTCM V2.x/3.x; CMR,CMR,N/A,NMEA-0183; BINEX,Unicore Protocol,L1/L2/L5,PC software; web interface,,"Support eleven frequency: BDS B1/B2/B3 + GPS L1/L2/L5 + GlONASS L1/L2
É?Ω Millimeter-leveled carrier phase observation value
É?Ω Specially developed for the application of CORS and post-processing"
M300 GNSS Receiver,ComNav,M300 is designed as the multi-purpose sensor for different kind of applications. With the powerful integration ability; M300 provides the solutions for geodetic reference station; deformation monitoring system; machine guidance; harbor construction; land surveying; marine surveying and other related high accuracy requested projects.,NA,2013,0.08,0.2,0.145,1.3,Aluminium Alloy,,10.5,28,2.5,N,Support,0,CE,N,N,,-40,70,100% condensation,IP 67; can float on the water,survives a 2-meter drop on to concrete,Y,Y,,198,198,"GPS: L1 C/A code; L1/L2 P code
GLonass L1;L2
Beidou:B1; B2; B3(optional)",WAAS; EGNOS; MASAS,C/A code; P code; Full Carrier Phase,2,Y,Y,,0.25,1,0.0025,1,0.01,1,0.0025,0.5,0.01,1,10,100,VRS; FKP; PRS; RTCM3,,Internal Flash Memory,100,ComNav GNSS raw data,Auto,,2 RS 232 port,Y,Y,N,,ComNav U30,External,External,External,,RTCM2.X; RTCM3.X,CMR/CMR+,ComNav Binary,NMEA0183,ComNav Binary,Y,CRU OEM Board Control Software,,"1. GPS L1/L2/L5; Beidou B1/B2/B3; GLONASS L1/L2
2. Configurable GPS/Beidou/GLONASS single system positioning and multi-system positioning 
3. Support long base line E-RTK
4. Advanced QUAN algorithm technology"
S760,South,NA,NA,2013,0.035,0.215,0.097,0.66,hard plastics,,3.7,3.7,0.74,5400mAh; removable li-ion battery;3.7V,unavailable,10,NA,Y,unavailable,,-20,60,100% condensing,tested to IP67 standard,withstand drops from 1.5m to concrete,N,N,,220,220,NA,GPS; GLONASS; GALILEO; QZSS,C/A; C,1,Y,Y,,0.25,1,NA,NA,0.008,1,0.003,1,NA,NA,30,NA,NRS; VRS; FKP; PRS; RTCM3,,SD card,4096,binary,pen; keys; qwerty board,,Mini USB2.0,Y,N,Y,,N,internal,internal,internal,,version 2.1; 2.2; 2.3; 3.0; 3.1,CMR; CMR+,Y,Y,Y,NA,fieldsoftware,,"XSTR System;
High accuracy positioning;
Built-in wireless LAN;
Extendable System Platform;
External antenna;"
SPS852,Trimble,NA,NA,2005,0.05,0.24,0.12,1.6,Coated Alloy,,10.5,28,6,Li Ion battery,Standard; 110-240VAC,10,FCC; Canadian ICES-003; CE; Ctick,Y,Y,,-40,65,NA,IP67,40g 10ms sawtooth,Y,Y,,220,220,GPS; GLONASS L1/L2/L5,SBAS,Full cycle carrier; Code,10,Y,NA,,0.25,1,0.003,0.1,0.01,1,0.003,0.1,0.01,1,10,NA,VRS; RTCM MAC,,Flash,32,Raw GNSS data; Base Corrections; Positions,Display panel and 7 keys,,3x RS232; USB; Ethernet; internal radio,Y,Y,Y,,Internal 450 UHF 900 MHz,External and Trimble SNM910,External,External,,version 2; 3,CMR+; CMRx,NA,version 4,NA,OmniSTAR,PC; Web UI,,NA
SPS461,Trimble,NA,NA,2009,0.05,0.24,0.12,1.37,Coated Alloy,,10.5,28,6,NA,Standard; 110-240VAC,NA,FCC; Canadian ICES-003; CE; Ctick,NA,Y,,-40,65,NA,IP67,40g 10ms sawtooth,Y,Y,,76,76,GPS L1/L2,MSK Beacon; SBAS,Full cycle carrier; Code,10,Y,NA,,0.35,1,NA,NA,0.01,1,NA,NA,NA,NA,10,NA,VRS; RTCM MAC,,NA,NA,NA,Display panel and 7 keys,,2x RS232; USB; Ethernet; internal radio,Y,Y,Y,,Internal 450 UHF 900 MHz; MSK Beacon,External and Trimble SNM910,External,External,,version 2; 3,CMR+; CMRx,NA,version 4,NA,OmniSTAR,PC; Web UI,,NA
SPS351,Trimble,NA,NA,2008,0.05,0.24,0.12,1.3,Coated Alloy,,10.5,28,4.5,NA,Standard; 110-240VAC,NA,FCC; Canadian ICES-003; CE; Ctick,NA,Y,,-40,65,NA,IP67,40g 10ms sawtooth,Y,Y,,38,38,GPS L1,MSK Beacon; SBAS,C/A,10,N,NA,,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,VRS DGPS only,,NA,NA,NA,Display panel and 7 keys,,3x RS232; USB; Ethernet,Y,Y,Y,,MSK Beacon,External and Trimble SNM910,External,External,,version 2,CMR+; CMRx,NA,version 4,NA,N,PC; Web UI,,Upgradeable scalable GNSS receiver - for professional marine construction. Internal receive and transmit radio link options. Pair with SPS552H for precise heading
X900 S-OPUS,CHC Navigation,The  CHC  X900S∂™-OPUS  dual∂™frequency  GNSS  receiver is  designed to  deliver  every  surveyor  with  high  precision;  robust  performances and  reliable  technology  at  an  affordable  price.  The  X900S∂™OPUS GNSS  system  matches  a  wide  range  of  applications  requiring post-processing  static  or  kinematic  survey.,NA,2015,0.084,0.179,0.179,1.4,NA,,9,18,2.6,2200 mAH battery,VDC 9-18V,6,IP-67,NA,NA,,-40,60,100% condensation,Yes; IP67,∂ˇsurvives∂ˇa∂ˇ2∂meter∂ˇdrop∂ˇon∂ˇto∂ˇconcrete,NA,NA,,120,120,GPSGPS:∂ˇL1;∂ˇL2;∂ˇL2C;  GLONASS:∂ˇL1;∂ˇL2;  BeiDou: B1,NA,NA,NA,N,NA,,NA,NA,NA,NA,NA,NA,5,1,5,1,NA,NA,HCN and RINEX,,internal,4000,RINEX and HCN,NA,,RS232 & USB,N,N,Y,,NA,NA,NA,NA,,NA,NA,NA,NA,HCN and RINEX,NA,NA,,Comes with \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'processing software
ProPak6,NovAtel,From standalone metre-level to RTK centimetre-level positioning; the ProPak6É?Ω is flexible to meet positioning needs. Reliability is safeguarded with the rugged and water resistant IP67 housing; combined with its wide operating temperature range.  Standardized software and hardware connections are included to reduce integration time.,NA,NA,0.19,0.185,0.075,1.79,IP67,,9,36,3.5,NA,NA,NA,NA,NA,NA,,-40,75,95% NC,IEC 60529 IPX7 / IEC 60529 IP6X,NA,Y,Y,,240,NA,"GPS L1; L2; L2C; L5
GLONASS L1; L2; L2C
Galileo E1; E5a; E5b; AltBOC
BeiDou B1; B2
SBAS
QZSS
L-Band",NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,,"RS-232/RS422 - 3
IMU - 1
USB 2.0 host - 1
USB 2.0 device - 1
Ethernet - 1
CAN Bus - 2
Event input - 4
Event output - 4
Wi-Fi - 1
Radio - GPRS / HSPA (optional)",NA,NA,Y,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,NA
